"ppm","eng_sp1","eng_sp2","eng_sp3","eng_sp4","eng_sp5","fuel_sp1","fuel_sp2","fuel_sp3","fuel_sp4","fuel_sp5","gear_sp1","gear_sp2","gear_sp3","gear_sp4","gear_sp5","nav_sp1","nav_sp2","nav_sp3","nav_sp4","nav_sp5"
1286.79,0.84,0.7,-0.75,3.85,8.58,5.44,11.34,15.84,6.72,10.72,-5.42,39.24,32.75,19.3,23.92,44.99,30.85,37.49,-5.81,46.7082571268294
1234.9,1.48,1.7,1.44,3.26,-4.39,4.91,-10.47,4.14,19.24,8.38,9.67,1.55,4.79,8.05,18.67,24.53,36.71,22.33,3.24,6.90642081727326
1323.66,1.45,-0.68,-0.97,4.69,13.59,11.69,9.05,9.06,16.7,-3.31,19.52,3.23,9.26,-0.52,10.68,18.32,14.17,2.15,34.83,8.67464112331473
1445.95,1.67,1.56,4.27,4.2,10.1,10.58,6.35,13.7,-9.83,14.71,24.35,14.92,-1.53,8.84,11.31,16.88,-4.08,13.47,7.21,22.5116771899871
1407.01,0.08,1.72,3.68,9.02,15.82,14.03,13.7,11.95,17.25,11.65,26.33,10.37,32.57,15.32,3.47,34.11,25.07,18.48,15.76,56.1207236869459
1281.56,0.53,-0.46,3.13,8.77,2.22,-1.89,2.04,7.11,14.66,28.97,4.59,19.38,28.9,4.47,18.1,18.52,2.25,30.39,24.25,-3.54944849418078
1350.59,1.06,0.51,0.35,6.29,13.65,-4.91,12.96,6.81,5.75,18.34,18.47,4.07,6.51,17.79,-0.56,0.82,21.81,11.57,-18.23,32.6530557243546
1262.87,1.31,5.25,5.95,4.77,-1.42,14.87,3.32,9.49,13.77,1.3,-3.19,29.57,37.18,20.14,18.38,8.17,26.93,6.05,31.48,38.7058032041141
1322.7,2.45,1.12,2.27,1.26,12.11,10.52,11.01,11.3,7.91,0.66,17.38,16.13,-8.5,5.32,7.01,16.65,8.84,10.77,44.43,-28.9202450491453
1308.62,1.57,2.71,1.65,7.83,14.11,13.44,9.07,15.37,8.69,18.36,12.26,26.72,7.97,28.67,14.82,11.27,7.6,6.68,10.46,7.37950245824306
1335.35,1.43,0.81,1.64,-1.12,5.02,14.04,11.59,1.41,0.48,3.89,16.29,13.29,3.58,23.21,6.56,-3.21,27.87,19.14,9.15,28.4751117675808
1281.16,-0.34,-2.43,2.56,0.48,4.5,9.97,3.9,9.44,11.87,6.75,8.56,20.75,4.04,27.05,12.58,3.52,40.54,-13.84,9.99,5.28418271185934
1155.82,1.13,2.67,1.48,0.77,0.41,10.76,6.19,6.68,21.13,6.06,-14.47,0.29,20.26,15.74,-7.83,26.45,23.71,11.43,9.92,50.8197414237516
1290.41,1.07,1.09,1.52,4.95,12.46,9.04,8.74,17.16,5.07,-4.1,-1.9,1.66,30.51,8.8,7.11,-4.75,27.72,-22.8,24.65,-13.012183567554
1620.28,1.94,5.8,9.26,10.67,3.82,-0.67,12.06,10.34,14.63,1.04,32.1,0.49,9.74,23.46,20.46,48.56,34.38,20.16,54.11,12.2390514659217
1339.07,-0.15,-0.82,4.97,-1.2,2.69,6.38,17.88,-2.25,-8.65,23.47,15.31,26.48,6.64,14.21,59.81,5.5,6.78,25.48,15.21,20.0761244681342
1314.49,0.5,1.59,-0.11,2.67,5.03,5.35,6.89,7.51,12.91,33.9,15,17.84,-9.33,25.27,14.36,31.46,10.06,-19.23,22.49,-0.785696114612421
1325.6,0.05,3.06,-0.16,-1.06,0.55,1.49,11.64,-1.22,12.43,25.14,13.67,3.39,21.96,18.32,-4.43,-10.39,38.91,37.52,-3.36,-27.4660344389863
1287.86,0.85,0.2,7.71,-0.75,-0.62,2.29,9.35,1.39,-6.4,18.88,-3.26,7.86,-8.07,14.94,22.7,16.52,28.71,-3.23,-42.81,73.7573728290833
1405.66,1.83,3.58,9.03,-0.15,14.67,7.05,12.87,9.3,-0.76,26.91,20.57,-0.16,7.67,21.16,13.89,0.43,33.17,28.72,25.03,21.3232703124144
1279.19,0.24,1.63,0.18,5.02,5.5,3.41,1.52,15.91,12.18,-1.42,3.79,10.73,9.64,-2.28,13.08,5.58,9.02,3.84,0.04,-3.74287064935552
1272.79,0.61,2.85,9.04,10.1,2.61,-1.18,12.54,-2.82,10.43,8.27,-9.46,18.9,-2.03,-2.87,8.39,12.22,12.47,27.35,22.58,27.0732305204996
1323.91,3.31,-0.73,4.76,8.51,2.22,-6.27,-10.98,3.73,10.02,6.11,12.75,17.86,13.35,8.2,25.71,25.57,29.85,48.84,17.11,63.8992817881391
1212.25,0.25,2.71,2.45,9.93,3.43,3.83,1.45,18.76,-7.79,7.87,-19.16,-3.84,-2.38,19.15,-2.76,-4.83,7.42,7.42,11.76,42.9710724952621
1308.12,2.45,2.01,2.26,10.52,2.49,7.82,-0.73,2.72,10.89,7.94,4.76,20.8,8.01,24.64,17.65,13.67,43.69,14.89,26.42,14.5480368627754
1300.29,0.46,2.5,4.28,7.83,0.38,12.27,15.07,0.47,13.25,20.68,-0.71,17.49,27.25,8.81,29.74,0.94,-2.63,12.7,22.88,6.12837390531881
1209.11,2.17,2.91,-1.66,3.5,0.47,7.33,7.41,6.64,25.02,26.38,13.89,18.21,26.94,11.19,27.58,-4,-13.52,10.52,17.81,26.9616142669516
1274.07,0.69,3.44,4.03,3.77,0.13,3.67,11.73,13.12,19.57,11.26,15.33,14.83,26.67,19.85,17.83,22.45,21.37,22.42,30.32,-14.9469175311618
1300.78,0.62,0.74,7.43,7.8,9.89,5.47,8.22,3.83,9.41,17.26,5.02,20.24,5.56,16.31,37.71,9.39,-9.54,41.43,40.77,24.796070561651
1291.6,-0.4,1.6,2.86,-0.45,-4.2,12.04,4.23,7.76,6.49,13.69,1.4,2.89,-5.28,4.37,9.3,17.91,52.65,-12.36,7.64,42.6010018927445
1129.88,0.93,1.82,-1,3.95,4.29,3.47,12.78,18.37,27.77,16.06,14.96,11.55,7.5,13.56,-9.07,12.04,12.92,55.61,9.86,58.0023456193019
1486.01,2.41,1.33,2.67,-5.65,8.15,4.3,24.03,10.32,-6.7,1.34,26.22,-1.35,21.91,16.13,-6.87,6.26,-9.64,5.77,29.03,22.462985010577
1064.03,1.9,3.72,4.17,11.86,1.18,5.87,1.64,4.98,31.6,1.67,17.28,-2.08,-8.2,16.99,22.8,26.47,30.61,40.41,7.02,-25.5754404015061
1546.73,0.6,1.9,1.54,4.88,-1.7,8.55,-2.06,3.27,11.64,8.34,29.7,17.32,14.39,-9.99,2.86,35.49,36.33,36.96,14.67,45.1529132809318
1281.26,-0.72,2.56,5.08,7.03,6.84,6.12,-0.56,17.19,6.99,6.72,5.92,19.96,12.89,18.48,25.26,27.85,20.34,-10.08,6.62,7.80038223986598
1279.85,0.43,3.03,11.55,3.93,-4.49,2.72,-3.37,9.99,7.75,11.99,1.58,24.77,9.07,25.52,27.15,38.59,34.18,17,53.29,19.0782109732209
1346.26,1.7,3.41,4.22,-2.89,8.26,-10.21,7.76,3.8,8.93,9.71,17.12,9.14,20.23,2.53,34.28,32.56,11.91,31.26,49.44,32.571303832551
1294.84,2.31,-0.02,7.15,5.74,-0.72,6.54,12.11,-3.49,0.73,5.1,-0.79,8.87,19.76,-7.03,33.9,10.48,19.78,21.62,23.9,52.3959870875764
1299.51,1.69,2.87,-2.63,0.29,12.85,9.94,11.02,17.46,14,20.29,13.48,21.85,21.26,20.19,29.4,24.78,14.07,17.38,31.72,31.4980518756769
1453.18,1.73,3.23,1.55,-1.58,7.09,9.67,2.76,-8.28,12.54,10.38,26.24,1.93,15.11,-10.19,8.65,39.56,51.78,15.7,16,18.1495697533924
1217.3,-0.59,-0.93,5.01,6.1,16.15,11.24,4.77,7.79,21.29,-5.37,6.17,14.3,-5.17,-0.67,24.13,10.48,3.93,40.95,-18.44,34.9833967448398
1257.56,-0.46,-0.16,3.95,-2.58,1.81,12.78,-8.7,14.06,18.93,5.32,14.68,12.33,31.35,11.33,14.29,25.22,21.4,42.63,20.76,32.5408485169546
1212.63,0.24,1.39,7.47,-2.96,0.7,3.33,-2.35,10.75,23.68,26.91,9.97,17.6,18.29,-2.74,24.88,26.62,20.32,-3.35,38.61,4.51906075704442
1337.01,0.13,3.22,3.53,12.59,10.31,11.98,21.57,6.14,5.27,4.84,7.79,13.93,-2.65,-7.93,20.8,22.13,34.9,13.8,3.59,3.85033703258366
1342.33,1.45,4.08,5.66,8.24,4.97,4.79,-11.17,-9.48,-6.42,15.54,14.71,17.52,28.79,8.59,27.76,31.72,31.27,8.31,2.74,19.980911808274
1311.3,2.32,0.94,2.81,9.02,-1.5,5.7,5.38,8.14,2.28,5.15,6.11,0.62,38.87,12.23,5.5,5.07,-2.56,43.54,7.96,10.8587060526659
1317.77,1.12,0.24,1.53,0.9,7.54,-5.34,1.69,-5.29,4.04,-5.05,6.59,12.81,1.4,40.12,-4.68,38.91,-9.9,22.71,0.09,-4.78888143624956
1293.18,2.4,0.77,1.66,2.96,1.17,3.63,11.76,16.12,8.33,6.08,1.56,9.92,14.96,-4.37,-11.61,2.68,-3.92,6.1,19.45,2.47546857672861
1360.1,1.9,-0.42,5.4,8.52,8.1,10.67,7.74,14.95,3.05,11.1,15.67,44.69,15.46,34.76,-8.79,14.33,8.82,19.96,19.24,29.6423504228263
1259.95,1.1,1.73,1.94,-1.83,1.37,10.65,0.63,15.55,2.58,15.05,-15.05,9.85,13.26,37.13,-10.04,11.49,7.81,35.84,29.51,7.05549251669316
1297.75,1.5,2.52,3.99,10.06,4.5,2.04,3.52,2.26,-2.08,-2.07,3.67,3.94,-1.68,21.93,16.41,12.14,13.7,19.47,29.66,19.0887169490553
1368.59,-0.75,1.64,1.62,9.79,6.98,13.91,6.33,3.88,19.78,10.89,22.63,9.08,9.53,20.5,-9.46,28.49,2.44,9.27,-4.18,30.0850502686229
1190.93,2.62,3.05,2.69,2.73,0.39,15.69,2.75,6.17,20.77,9.17,4.88,8.95,5.97,11.31,28.96,17.04,8.58,16.12,38.68,10.467687751376
1306.54,-0.86,3.78,4.69,6.89,10.12,-0.1,-5.65,8.65,1.38,11.12,9.51,12.54,19.31,17.24,8.43,12.17,6.18,-24.56,-8.8,9.75286570325776
1290.21,0.45,3.62,0.19,4.06,10.8,3.29,2.91,11.47,7.51,9.19,-6.59,-13.41,16.75,40.25,-5.05,-0.88,18.96,-1.7,54.3,31.9773002731851
1213.88,0.56,-2.15,2.74,2.81,9.68,9.19,3.88,6,24.97,6.08,15.91,23.82,9,11.37,41.41,5.04,7.24,30.45,48.11,-13.1435019284982
1437.76,1.04,4.3,-0.82,1.87,4.73,9.53,-1.17,6.8,-1.77,2.97,23.94,13.64,-11.38,29.68,12.12,12.18,34.72,-2.09,38.82,58.1876969828294
1235.58,0.97,1.1,1.92,2.07,6.72,11.78,3.11,-1.55,19.95,7.16,5.46,13.2,6.94,28.4,29.9,13.98,24.3,24.35,-0.43,12.1697493243379
1289.9,3.17,-0.32,0.47,-1.74,14.12,-2.38,15.64,9.24,16.91,8.89,14.9,12.07,24.69,-6.99,32.34,4.65,16.78,7.27,9,2.83903484757057
1281.48,1.32,4.37,4.57,9.47,4.86,2.74,-1.88,8.13,5.96,0.57,-11.31,22.57,17.47,-3.18,28.6,19.2,19.14,15.02,-11.67,-5.448944229988
1661.45,2.53,1.99,3.13,1.57,-2.75,8.92,1.43,23.76,2.45,-1.37,33.36,28.16,20.99,16.78,10.25,11.83,-8.15,37.88,20.26,34.7966347165835
1255.56,0.59,2.68,-0.85,2.54,-5.05,0.4,0.93,1.37,23.72,3.16,20.62,12.37,25.39,25.19,38.9,-7.88,28.12,17.19,-13.95,48.8118683556786
1327.13,0.82,1.93,5.11,0.06,4.82,5.25,5.25,13.77,-2.01,3.24,10.74,17.34,-2.82,8.08,-2.58,44.27,30.36,14.04,21.89,28.0429043541525
1218.68,0.92,0.84,3.11,9.81,7.04,12.95,3.29,-6.98,20.96,7.78,3.8,8.54,-1.1,15.07,2.32,30.18,24,17.41,-6.04,12.3273527912874
1088.35,1.11,0.41,0.93,2.84,8.53,14.18,10.06,12.63,29.78,10.09,17.5,3.91,-25.12,23.14,26.58,17.97,29.14,30.03,23.49,11.0281108653936
1397.29,1.44,1.31,-1.53,2.93,2.38,6.43,9.77,15.66,16.65,6.06,24.3,15.76,2.22,17.85,45.59,20.72,4.16,-12.36,-32.96,78.4141282793886
1305.24,0.67,0.59,2.82,0.66,3.39,-2.93,8.6,9.51,17.15,24.89,14.66,2.52,17.23,-12.16,21.65,32.78,25.32,4.82,1.8,34.4071280461138
1286.71,0.66,1.29,0.83,3.92,-0.49,17.17,6.59,21.4,8.76,5.44,11.2,8.38,31.52,37.2,5.99,15.63,14.88,6.03,21.88,22.5473025353155
1323.27,-0.13,4.92,-0.72,2.51,1.37,1.96,-12.08,6.16,4.79,20.41,3.18,4.97,14.62,18.78,-4.24,30.65,13.65,13.71,19.36,31.9010754096764
1391.57,-0.08,-0.03,4.92,6.21,2.81,2.98,10.02,3.91,1.16,25.49,19.71,30.18,31.1,28.57,-0.16,-0.44,3.89,36.94,15.13,11.6031786231547
1257.88,4,4.7,-3.11,0.34,-1.93,6.31,0,4.94,18.31,-1.98,-5.73,7.21,18.41,-4.33,8.05,19.51,32.05,25.74,8.83,16.6765939339155
1350.01,-0.04,3.39,-3.14,0.95,3.69,16.89,14.09,26.03,3.12,14.21,13.81,19.38,26.71,-9.19,3.07,14.03,-2.16,37.62,-7.8,26.6673662054282
1290.96,2.14,1.04,1.11,1.42,-1.48,4.33,-1.61,3,-2.89,-0.62,5.26,37.83,-9.8,-3.52,5.69,51.11,-4.23,54.56,51.21,2.45947619980362
1274.71,0.47,-0.64,5.73,9.22,12.02,1.24,13.51,3.43,6.11,4.51,4.13,10.4,4.18,9.43,5,2.31,27.68,26.33,3.2,14.7669231558506
769.41,2.4,1.61,2.1,5.13,5.9,4.44,0.91,-1.49,33.46,14.86,-25.3,-7.25,30.67,19.63,8.88,35.33,-3.11,10.57,-9.32,27.3741315026426
1756.63,0.37,3.42,-1.1,-1.17,16.31,3.07,-3.09,4.57,19.35,-8.6,38.43,3.36,10,29.4,36.63,9.29,31.94,19.71,-5.31,-5.38314924830953
1264.11,0.89,0.67,1.75,5.37,2.08,2.03,3.17,16.03,14.21,9.41,3.79,20.03,17.08,-7.58,-0.12,21.41,22.98,-1.47,39.44,43.7456655970701
1221.6,2.54,-0.15,2.09,7.03,5.46,5.69,14.14,-1.58,25.88,6.58,20.3,0.67,-0.22,15.78,14.67,26.33,13.65,14.94,33.68,10.9108979799613
1299.8,0.27,0.06,1.51,7.33,0.11,8.94,1.29,10.77,3.11,24.25,12.21,18.1,32.24,18.63,35.06,-0.61,22.8,13.34,-7.88,43.4412254468157
1383.3,1.4,0.34,0.59,5.48,2.85,5.89,7.91,-2.63,13.28,25.14,21.86,-3.02,9.18,8.51,19.17,9.08,-4.52,46.59,40.37,32.8507101821758
1305.29,0.17,1.01,4.05,10.91,6.92,-3.83,10.43,-4.33,6.95,8.63,10.36,10.79,-18.6,6.1,9.6,13.87,0.93,-24.6,-9.16,36.5663522801904
1312.43,1.18,1.09,5.78,0.74,3.74,14.89,0.95,0.15,3.95,-2.99,14.22,15.84,28.4,-6.72,18,-12.48,-29.8,30.83,25.61,10.1368756916264
1353.38,0.63,2.55,1.47,-3.47,1.48,10.54,3.34,24.87,2.94,22.96,17.66,9.07,27.15,19.49,26.72,48.83,16.33,2.03,28.56,11.3541858946439
1374.79,1.28,4.56,0.84,5.42,3.44,12.62,2.45,2.49,18.37,-5.22,23.96,2.78,21.64,4.88,7.71,1.29,23.98,27.86,-3.17,5.92176829835119
1266.34,1.36,5.59,0.58,3.82,7.34,12.56,-0.62,5.15,4.08,11.26,-2.07,8.64,1.31,8.11,16.91,22.56,18.44,6.84,44.69,25.4116897565043
1311.64,1.57,3.08,5.12,10.38,6.7,2.81,8.16,9.82,11.22,18.48,1.16,20.62,30.18,13.23,15.5,28.87,14.96,23.56,53.25,31.3334207975481
1332.22,0.99,1.43,5.44,2.28,12.37,-5.12,0.8,7.76,3.54,4.67,-6.56,34.34,23.57,-3.25,4.57,32.48,8.29,13.35,33.01,42.3138835138314
1295.81,0.89,1.95,4.7,4.31,3.35,1.28,0.9,9.22,16.41,7.96,17.11,14.4,11.16,26.38,-13.23,25.3,12.58,16,52.11,22.2454902310058
1342.19,2.34,1.11,6.19,-0.2,7.41,5.71,13.63,-14.74,15.06,14.09,18.43,28.69,-14.26,27.12,5.73,18.47,14.04,15.57,24.31,15.8929766856196
1240.06,2.57,0.49,2.75,2.64,0.49,-2.37,16.83,-3.33,18.39,28.21,-0.15,19.25,28.05,3.23,16.63,11.59,33.51,29.12,27.7,67.3424902562784
1258.28,0.85,6.15,11.87,2.43,-0.75,8.8,7.11,12.01,-2,4.43,-4.82,-1.1,9.13,12.11,11.23,12.36,13.91,61.57,13.71,47.5612649844421
1102.46,2.01,1.28,0.02,11.24,7.25,5.69,-7.18,16.11,27.18,10.75,10.54,-22.98,20.55,12.72,44.94,-11.06,52.97,30.57,1.8,-24.2677019784602
1308.28,2.15,1.19,-0.22,4.2,6.75,12.93,5.88,-2.68,-1.65,6.74,8.95,12.02,0.03,9.07,29.39,20.39,-4,25.09,3.53,33.2993020147572
1325.65,1.18,2.58,3.04,5.95,-0.4,16.63,0.08,14.19,5.68,4.25,5.49,7.73,30.04,-0.9,-0.33,5.51,15.78,35.23,87.12,22.8291923885181
1239.8,1.83,-3.01,7.27,1.84,2.85,2.93,-4.29,4.46,19.11,34.74,7.29,26.29,19.97,41.08,17.39,15.17,21.98,17.76,32.18,4.62010203431851
1344.53,0.79,-0.09,4.13,4.72,0.69,14.24,1.43,-6.78,-14.04,22.11,12.85,5.6,41.85,-3.63,26.3,12.74,38.46,26.8,-2.51,3.6305383937674
1381.97,0.6,3.79,5.43,-0.78,3.11,7.23,8.34,11.82,-0.59,1.58,21.58,3.96,-20.08,14.89,24.4,17.04,22.65,25.37,14.32,25.3751689061446
1330.27,0.03,2.34,3.91,7.02,-4.66,15.78,3.22,13.37,7.59,30.36,12.76,0.2,36.29,11.27,27.97,28.68,16.66,-16.35,39.88,4.62952282398146
1514.5,0.14,0.52,7.53,4.8,8.97,6.48,-4.5,-11.44,-1.57,10.38,25.98,9.62,12.27,-4.69,40.18,25.84,-18.2,9.81,-9.14,24.8545951137646
1273.45,1.67,0.72,1.62,-1.34,5.56,6.47,9.66,1.73,14.03,9.52,4.3,0.16,11.22,-7.19,4.88,4.29,26.4,46.81,7.53,25.8657989499963
1245.04,1.88,2.05,5.17,4.03,5.06,14.09,11.92,7.3,18.11,25.78,-4.7,13.88,25.29,5.69,28.66,20.68,6.44,23.65,27.45,19.9253171733952
1278.84,-0.07,-1.93,2.73,5.66,4.79,3.69,2.56,19.6,13.47,15.68,-3.01,-20.58,15.85,22.25,29.16,46.97,23.1,32.59,52.91,-9.12163869942852
1404.26,1.44,1.97,11.37,-1.38,12.12,9.65,-4.15,-8.48,15.31,1.19,25.95,10.41,-0.3,1.88,3.77,19.11,-1.45,-3.15,4.6,24.7354239661854
1254.95,-0.33,4.27,-1.66,2.1,1.85,10.64,8.9,13.84,18.71,24.21,13.09,8.2,20.38,-3.96,11.68,35.85,11.16,17.9,-0.65,18.4181235368943
1333.71,1.34,-0.16,4.16,-0.34,8.76,17.58,12.8,5.56,20.29,13.22,21.59,35.19,29.53,-2.77,-6.81,4.89,22.63,6.28,19.51,35.4074120943044
1224.16,1.13,1.22,-0.43,5.27,6.78,7.23,1.36,12.86,21.65,2.16,9.51,17.47,22.33,26.77,15.84,19.67,31.63,-22.9,40.2,35.6747492469771
1538.92,0.48,0.14,2.45,0.03,4.83,5.93,1.71,11.68,11.23,15.12,29.58,9.11,28.47,26.94,23.1,-32.94,-0.22,24.8,-2.27,15.9875833799657
1306.6,2.4,2.24,4.81,8.72,10.85,3.65,11.89,15.67,11.42,12.21,14.82,16.49,6.72,11.77,25.28,6.49,30.85,-20.83,40.96,2.15864974853038
1269.85,2.22,1.27,2.07,0.2,1.34,3.35,15.55,-9.58,14.76,-0.18,11.63,-1.51,11.48,21.13,7.67,20.81,10.79,48.21,2.4,-0.433320788160337
1175.54,0.69,2.76,2.45,4.9,5.31,-1.07,19.7,11.51,22.1,9.55,-10.39,20.5,-12.02,22.33,51.04,-7.68,10.19,18.36,14.39,29.9665424555753
1272.77,2.31,0.45,7.85,-1,5.22,3.56,11.73,10.93,5.24,0.56,-6.32,16.07,20.93,0.83,2.09,0.98,8.35,14.72,2.66,1.16895573407293
1225.27,1.27,-1.88,6.64,7.21,0.16,12.25,1.37,5.34,18.4,-1.82,5.58,6.16,7.98,37.77,18.81,-10.84,25.83,5.61,-6.69,42.2723836668169
1288.19,1.23,2.16,5.9,4.43,4.59,2.65,12.67,8.21,15.17,28.58,0.27,27.08,2.8,8.14,18.39,10.6,5.59,5.8,41.98,31.5318613172978
1318.67,0.77,2.43,6.59,6.24,3.85,0.44,2.44,6.56,15.61,28.69,17.85,29.44,27.22,20.93,7.18,9.67,24.87,10.21,-6.82,17.2016770225471
1257.31,1.05,2,0.58,2.47,0.71,5.04,14.79,7.22,12.18,15.15,8.17,8.02,-3.15,-7.68,19.46,5.67,44.21,16.95,-15.89,32.173266638302
1158.96,3.06,-0.08,4,5.71,-3.98,2.31,3.45,-8.52,26.63,0.57,16.73,6.35,2.62,9.02,6.56,43.97,12.82,61.56,16.09,-7.45015819066836
1408.89,1.81,-0.55,5.79,1.12,8.14,2.08,11.1,13.14,12.25,12.29,21.25,2.98,34.54,2.54,12.6,-15.9,-3.21,27.81,41.13,25.6710160560998
1304.77,0.33,0.24,-0.56,3.15,0.7,14.06,4.16,12.61,12.05,29.88,9.78,-8.43,26.01,20.26,14.58,23.41,22.25,24.24,32.73,-0.950737139490382
1510.34,2.97,2.82,0.28,1.56,7.84,8.44,6.82,-2.94,18.51,-6.74,29.53,11.28,8.99,-4.78,18.3,10.91,-17.98,14.81,25.62,21.2990746446849
1321.8,2.45,1.44,-0.01,5.19,2.12,6.41,5.34,31.3,5.37,3.74,13.92,17.31,23.05,6.71,34.63,7.33,3.46,10.92,59.12,0.333504760423281
1353.43,-0.02,-0.06,-0.63,3.57,6.54,4.08,4.95,1.3,6.15,9.47,19.17,10.29,13.66,5.62,37.6,11.41,-5.84,7.88,39.24,39.6501652084325
1297.57,1.22,-0.35,2.63,9.24,-3.36,7.58,9.35,6.62,3.37,8.78,12.4,0.11,27.64,-3.39,3.73,8.55,23.34,28.1,38.51,-19.8047555429361
1398.83,1.78,6.36,-1.51,0.94,7.48,5.52,6.37,4.46,2.39,15.52,20.84,0.44,-10,21,20.96,-4.1,2.3,69.3,10.81,37.8797957709234
